0.0085% is done | total is: 566977928 | total time: 141.445secs | previous time: 2.226secs
0.0086% is done | total is: 577480712 | total time: 143.697secs | previous time: 2.252secs
0.0087% is done | total is: 587297072 | total time: 146.020secs | previous time: 2.324secs
0.0088% is done | total is: 598063928 | total time: 148.210secs | previous time: 2.190secs
0.0089% is done | total is: 608223440 | total time: 150.457secs | previous time: 2.247secs
0.009% is done | total is: 617955488 | total time: 152.819secs | previous time: 2.362secs
0.0091% is done | total is: 628047088 | total time: 155.063secs | previous time: 2.245secs
0.0092% is done | total is: 639326080 | total time: 157.438secs | previous time: 2.375secs
0.0093% is done | total is: 649235272 | total time: 159.741secs | previous time: 2.303secs
0.0094% is done | total is: 659809648 | total time: 162.136secs | previous time: 2.396secs
0.0095% is done | total is: 670248400 | total time: 164.484secs | previous time: 2.348secs
0.0096% is done | total is: 680439208 | total time: 167.030secs | previous time: 2.547secs
0.0097% is done | total is: 691423984 | total time: 169.431secs | previous time: 2.401secs
0.0098% is done | total is: 701894776 | total time: 171.914secs | previous time: 2.483secs
0.0099% is done | total is: 712721272 | total time: 174.442secs | previous time: 2.529secs
0.01% is done | total is: 724086120 | total time: 176.893secs | previous time: 2.451secs
0.0101% is done | total is: 734543664 | total time: 179.266secs | previous time: 2.374secs
0.0102% is done | total is: 745760688 | total time: 181.801secs | previous time: 2.535secs
0.0103% is done | total is: 756344736 | total time: 184.238secs | previous time: 2.437secs
0.0104% is done | total is: 767851056 | total time: 186.840secs | previous time: 2.603secs
0.0105% is done | total is: 779054256 | total time: 189.232secs | previous time: 2.392secs
0.0106% is done | total is: 790541544 | total time: 191.754secs | previous time: 2.522secs
0.0107% is done | total is: 801604992 | total time: 194.395secs | previous time: 2.640secs
0.0108% is done | total is: 812550120 | total time: 196.957secs | previous time: 2.563secs
0.0109% is done | total is: 824595104 | total time: 199.427secs | previous time: 2.470secs
0.011% is done | total is: 835061672 | total time: 202.044secs | previous time: 2.618secs
0.0111% is done | total is: 846775040 | total time: 204.668secs | previous time: 2.623secs
0.0112% is done | total is: 858859328 | total time: 207.287secs | previous time: 2.620secs
0.0113% is done | total is: 870105416 | total time: 209.740secs | previous time: 2.453secs
0.0114% is done | total is: 880653104 | total time: 212.371secs | previous time: 2.631secs
0.0115% is done | total is: 893512400 | total time: 214.980secs | previous time: 2.609secs
0.0116% is done | total is: 905102264 | total time: 217.594secs | previous time: 2.614secs
0.0117% is done | total is: 916022864 | total time: 220.171secs | previous time: 2.578secs
0.0118% is done | total is: 928864840 | total time: 222.838secs | previous time: 2.666secs
0.0119% is done | total is: 939404968 | total time: 225.377secs | previous time: 2.540secs
0.012% is done | total is: 951935920 | total time: 228.068secs | previous time: 2.690secs
0.0121% is done | total is: 963107800 | total time: 230.804secs | previous time: 2.736secs
0.0122% is done | total is: 975921688 | total time: 233.355secs | previous time: 2.552secs
0.0123% is done | total is: 988534648 | total time: 236.109secs | previous time: 2.753secs
0.0124% is done | total is: 999488416 | total time: 238.762secs | previous time: 2.653secs
0.0125% is done | total is: 1012460608 | total time: 241.485secs | previous time: 2.722secs
0.0126% is done | total is: 1024191520 | total time: 244.337secs | previous time: 2.852secs
0.0127% is done | total is: 1035338208 | total time: 247.126secs | previous time: 2.788secs
